Country Name,Indicator Name,2015,2016,2017
Niger,"Taxes on income, profits and capital gains (% of revenue)",,,
Nigeria,"Taxes on income, profits and capital gains (% of revenue)",,,
North Macedonia,"Taxes on income, profits and capital gains (% of revenue)",16.1567344313807,15.573330932292302,15.6219928727508
Northern Mariana Islands,"Taxes on income, profits and capital gains (% of revenue)",,,
Norway,"Taxes on income, profits and capital gains (% of revenue)",22.302767913400103,20.7870967650015,22.2580372829686
Oman,"Taxes on income, profits and capital gains (% of revenue)",,,
Pakistan,"Taxes on income, profits and capital gains (% of revenue)",,,
Palau,"Taxes on income, profits and capital gains (% of revenue)",7.8263547226032495,8.032437194740139,9.549016251414841
Panama,"Taxes on income, profits and capital gains (% of revenue)",,,
Papua New Guinea,"Taxes on income, profits and capital gains (% of revenue)",53.56881089248861,50.4143500774984,46.137610735847105
Paraguay,"Taxes on income, profits and capital gains (% of revenue)",11.650971760808401,11.9305207118431,12.8197979385647
Peru,"Taxes on income, profits and capital gains (% of revenue)",29.1550672333209,32.6304368831619,30.9531553589367
Philippines,"Taxes on income, profits and capital gains (% of revenue)",41.343541361814204,41.9546249885005,41.4692223964639
Poland,"Taxes on income, profits and capital gains (% of revenue)",12.1933783264626,12.2521430990906,12.480215897293197
Portugal,"Taxes on income, profits and capital gains (% of revenue)",25.2625064344532,24.1089353736101,24.0743761020369
Puerto Rico,"Taxes on income, profits and capital gains (% of revenue)",,,
Qatar,"Taxes on income, profits and capital gains (% of revenue)",,,
Romania,"Taxes on income, profits and capital gains (% of revenue)",18.7640429786067,20.211327632600998,19.9254573973971
Russian Federation,"Taxes on income, profits and capital gains (% of revenue)",1.8997054094034902,-1.34837993166056,2.0758339758902298
Rwanda,"Taxes on income, profits and capital gains (% of revenue)",20.9948974515932,22.4296462077243,21.7055503917806
Samoa,"Taxes on income, profits and capital gains (% of revenue)",17.5355630863568,16.7838450902546,16.3004428065299
San Marino,"Taxes on income, profits and capital gains (% of revenue)",16.730103663117003,15.411075567058498,
Sao Tome and Principe,"Taxes on income, profits and capital gains (% of revenue)",,,
Saudi Arabia,"Taxes on income, profits and capital gains (% of revenue)",2.38259228913618,2.8212589023295402,2.02651444937161
Senegal,"Taxes on income, profits and capital gains (% of revenue)",19.356627293141802,,
Serbia,"Taxes on income, profits and capital gains (% of revenue)",,,
Seychelles,"Taxes on income, profits and capital gains (% of revenue)",13.9154590751929,29.444586070209798,
Sierra Leone,"Taxes on income, profits and capital gains (% of revenue)",,,
Singapore,"Taxes on income, profits and capital gains (% of revenue)",32.6510313262308,32.3621645333085,33.4574635273207
Sint Maarten (Dutch part),"Taxes on income, profits and capital gains (% of revenue)",,,
Slovak Republic,"Taxes on income, profits and capital gains (% of revenue)",17.4025005238063,18.7682167540436,18.735917083656602
Slovenia,"Taxes on income, profits and capital gains (% of revenue)",9.898024008750241,11.0736166910449,11.4826727574771
Solomon Islands,"Taxes on income, profits and capital gains (% of revenue)",21.8337040245852,23.1039850083395,22.318438999763103
Somalia,"Taxes on income, profits and capital gains (% of revenue)",,,1.3887325300796003
South Africa,"Taxes on income, profits and capital gains (% of revenue)",47.141612148936204,48.7903372915995,49.410317038707596
South Sudan,"Taxes on income, profits and capital gains (% of revenue)",,,
Spain,"Taxes on income, profits and capital gains (% of revenue)",33.9264202134903,33.5428899668113,34.1137812754298
Sri Lanka,"Taxes on income, profits and capital gains (% of revenue)",17.9753835235791,15.288462708192402,14.925378254670301
St. Kitts and Nevis,"Taxes on income, profits and capital gains (% of revenue)",13.483396478716301,14.7883208266124,16.0524552503111
St. Lucia,"Taxes on income, profits and capital gains (% of revenue)",22.7014073117092,24.261564720971304,22.6943958281244
St. Martin (French part),"Taxes on income, profits and capital gains (% of revenue)",,,
St. Vincent and the Grenadines,"Taxes on income, profits and capital gains (% of revenue)",23.7185231241885,25.202975901665898,24.690408807603603
Sudan,"Taxes on income, profits and capital gains (% of revenue)",5.693598875592201,5.8543464322808205,
Suriname,"Taxes on income, profits and capital gains (% of revenue)",,,
Sweden,"Taxes on income, profits and capital gains (% of revenue)",16.166559018541,15.998963532716902,16.330879504068196
Switzerland,"Taxes on income, profits and capital gains (% of revenue)",22.850584922276003,22.795149335117397,25.237807330840102
Syrian Arab Republic,"Taxes on income, profits and capital gains (% of revenue)",,,
Tajikistan,"Taxes on income, profits and capital gains (% of revenue)",,,
